symbol,date,percent
Twitter,Apr 2017,27
Twitter,Apr 2016,26
Twitter,Apr 2015,24
Twitter,Sep 2014,23
Twitter,Sep 2013,18
Twitter,May 2013,18
Twitter,Dec 2012,16
Twitter,Aug 2012,16
Instagram,Apr 2017,39
Instagram,Apr 2016,34
Instagram,Apr 2015,29
Instagram,Sep 2014,26
Instagram,Sep 2013,17
Instagram,Dec 2012,13
Instagram,Aug 2012,12
Pintrest,Apr 2017,32
Pintrest,Apr 2016,30
Pintrest,Apr 2015,30
Pintrest,Sep 2014,28
Pintrest,Sep 2013,21
Pintrest,Dec 2012,15
Pintrest,Aug 2012,12
Facebook,Apr 2017,76
Facebook,Apr 2016,79
Facebook,Apr 2015,72
Facebook,Sep 2014,71
Facebook,Sep 2013,71
Facebook,Dec 2012,67
Facebook,Aug 2012,66
LinkedIn,Apr 2017,28
LinkedIn,Apr 2016,28
LinkedIn,Apr 2015,24
LinkedIn,Sep 2014,28
LinkedIn,Sep 2013,22
LinkedIn,Aug 2012,20
